"delta_t","4","3","7","1","5","2"
1.166,10.877,NA,10.628,10.958,9.826,NA
1.167,NA,12.201,NA,NA,NA,11.311
1.333,10.866,12.201,10.622,10.959,9.828,11.307
1.499,10.86,12.2,10.613,NA,9.823,NA
1.5,NA,NA,NA,10.953,NA,11.308
1.666,10.851,12.198,10.609,10.959,9.819,11.3
1.833,10.85,12.193,10.59,10.949,9.815,11.303
1.999,10.85,12.179,NA,NA,NA,NA
2,NA,NA,10.589,10.942,9.806,11.291
2.166,10.837,12.182,10.584,NA,9.808,11.287
2.167,NA,NA,NA,10.939,NA,NA
2.333,10.821,12.184,10.573,10.933,9.807,11.275
2.499,NA,NA,NA,NA,NA,11.272
2.5,10.821,12.176,10.563,10.937,9.807,NA
2.666,NA,NA,10.562,10.931,9.804,11.252
2.667,10.815,12.152,NA,NA,NA,NA
2.833,10.805,12.168,10.546,10.924,9.807,11.252
2.999,10.797,NA,NA,NA,9.797,11.235
3,NA,12.142,10.543,10.921,NA,NA
3.166,10.796,12.117,10.538,NA,9.8,11.226
3.167,NA,NA,NA,10.928,NA,NA
3.333,10.795,12.103,10.535,10.932,9.788,11.232
3.499,10.792,NA,10.522,NA,NA,NA
3.5,NA,12.093,NA,10.919,9.793,11.216
3.666,10.783,12.085,10.512,10.911,9.792,NA
3.667,NA,NA,NA,NA,NA,11.21
3.833,10.776,12.07,10.504,10.915,9.79,11.212
3.999,10.765,NA,10.498,NA,9.783,11.214
4,NA,12.059,NA,10.904,NA,NA
4.166,10.762,NA,10.494,NA,9.778,11.21
4.167,NA,12.053,NA,10.908,NA,NA
4.333,10.75,12.041,10.482,10.906,9.779,11.204
4.499,NA,NA,10.48,NA,9.782,11.193
4.5,10.747,12.036,NA,10.909,NA,NA
4.666,NA,NA,10.482,10.903,9.778,11.19
4.667,10.749,12.034,NA,NA,NA,NA
4.833,10.741,12.028,10.467,10.897,9.768,11.185
4.999,NA,NA,NA,NA,9.771,11.182
5,10.741,12.036,10.464,10.889,NA,NA
5.166,10.731,NA,NA,10.888,9.772,11.172
5.167,NA,12.034,10.451,NA,NA,NA
5.333,10.733,12.029,10.444,10.888,9.77,11.173
5.499,NA,12.022,NA,NA,NA,NA
5.5,10.728,NA,10.435,10.896,9.768,11.165
5.666,10.719,12.02,10.429,10.887,9.775,11.156
5.833,10.719,12.022,10.425,10.887,9.77,11.152
5.999,NA,12.028,NA,NA,NA,NA
6,10.715,NA,10.413,10.878,9.761,11.147
6.166,NA,12.015,10.411,10.882,9.765,11.145
6.167,10.713,NA,NA,NA,NA,NA
6.333,10.711,12.011,10.414,10.878,9.764,11.135
6.499,10.699,12.019,10.411,NA,NA,NA
6.5,NA,NA,NA,10.875,9.759,11.124
6.666,10.707,12.017,NA,10.868,NA,NA
6.667,NA,NA,10.397,NA,9.76,11.126
6.833,10.696,12.009,10.388,10.863,9.754,11.119
6.999,10.695,NA,NA,10.871,NA,NA
7,NA,12,10.392,NA,9.76,11.115
7.166,10.683,12.002,10.389,10.861,9.761,11.112
7.333,10.681,11.995,10.378,10.872,9.764,11.11
7.499,NA,11.995,NA,10.862,NA,NA
7.5,10.678,NA,10.375,NA,9.759,11.108
7.666,NA,11.995,10.367,10.857,9.754,11.1
7.667,10.684,NA,NA,NA,NA,NA
7.833,10.68,11.992,10.367,10.854,9.746,11.1
7.999,10.679,NA,NA,NA,NA,11.1
8,NA,11.979,10.362,10.857,9.753,NA
8.166,10.676,NA,10.362,10.857,9.746,11.105
8.167,NA,11.98,NA,NA,NA,NA
8.333,10.67,11.979,10.349,10.846,9.741,11.1
8.499,NA,NA,NA,10.849,NA,NA
8.5,10.664,11.975,10.344,NA,9.741,11.093
8.666,10.659,11.969,10.343,10.85,9.739,NA
8.667,NA,NA,NA,NA,NA,11.086
8.833,10.655,11.965,10.342,10.843,9.748,11.096
8.999,NA,NA,10.336,10.845,9.74,NA
9,10.653,11.965,NA,NA,NA,11.088
9.166,NA,NA,10.333,10.835,9.744,11.085
9.167,10.658,11.959,NA,NA,NA,NA
9.333,10.637,11.962,10.33,10.843,9.738,11.078
9.499,10.64,11.956,10.323,NA,NA,NA
9.5,NA,NA,NA,10.838,9.738,11.086
