"run","channel","resp_rate","resp_r2","resp_bg_rate_run","resp_rate_bg_adj_run","resp_bg_rate_channel","resp_rate_bg_adj_channel","resp_bg_rate_mean","resp_rate_bg_adj_mean"
1,"1",-0.0104050239575419,0.971,-0.0102234223425406,-0.000181601615001243,-0.0343790124916512,0.0239739885341093,-0.0196525144835521,0.0092474905260102
1,"2",-0.00725211630492853,0.95,-0.0102234223425406,0.00297130603761212,-0.0218545284731524,0.0146024121682238,-0.0196525144835521,0.0124003981786236
1,"3",-0.0234077222513501,0.992,-0.0102234223425406,-0.0131842999088095,-0.0210859203235099,-0.00232180192784026,-0.0196525144835521,-0.00375520776779804
1,"4",-0.0205635836254639,0.993,-0.0102234223425406,-0.0103401612829233,-0.0187510637489386,-0.00181251987652539,-0.0196525144835521,-0.000911069141911847
1,"5",-0.013681832140125,0.98,-0.0102234223425406,-0.00345840979758438,-0.0132288872466532,-0.000452944893471833,-0.0196525144835521,0.00597068234342706
1,"7",-0.00219157317636262,0.793,-0.0102234223425406,0.00803184916617803,-0.0159789236214569,0.0137873504450943,-0.0196525144835521,0.0174609413071895
2,"1",-0.00422018081211473,0.865,-0.0116673535891659,0.00744717277705116,-0.0343790124916512,0.0301588316795365,-0.0196525144835521,0.0154323336714374
2,"2",-0.0012088544268068,0.254,-0.0116673535891659,0.0104584991623591,-0.0218545284731524,0.0206456740463456,-0.0196525144835521,0.0184436600567453
2,"3",0.00729929728188954,0.923,-0.0116673535891659,0.0189666508710554,-0.0210859203235099,0.0283852176053994,-0.0196525144835521,0.0269518117654416
2,"4",5.61510867488919e-05,0.00068,-0.0116673535891659,0.0117235046759148,-0.0187510637489386,0.0188072148356874,-0.0196525144835521,0.019708665570301
2,"5",-0.0034390639281611,0.855,-0.0116673535891659,0.00822828966100479,-0.0132288872466532,0.0097898233184921,-0.0196525144835521,0.016213450555391
2,"7",-0.0126516375418433,0.946,-0.0116673535891659,-0.000984283952677377,-0.0159789236214569,0.00332728607961366,-0.0196525144835521,0.00700087694170883
3,"1",-0.0108035381138261,0.944,-0.0215796466879105,0.0107761085740844,-0.0343790124916512,0.0235754743778251,-0.0196525144835521,0.00884897636972599
3,"2",-0.00586315314152611,0.922,-0.0215796466879105,0.0157164935463844,-0.0218545284731524,0.0159913753316263,-0.0196525144835521,0.013789361342026
3,"3",-0.0182896130563695,0.991,-0.0215796466879105,0.00329003363154099,-0.0210859203235099,0.00279630726714035,-0.0196525144835521,0.00136290142718257
3,"4",-0.0165740629151646,0.984,-0.0215796466879105,0.00500558377274591,-0.0187510637489386,0.00217700083377395,-0.0196525144835521,0.00307845156838749
3,"5",-0.0214796593194061,0.994,-0.0215796466879105,9.99873685044138e-05,-0.0132288872466532,-0.0082507720727529,-0.0196525144835521,-0.00182714483585401
3,"7",-0.0108019847020825,0.962,-0.0215796466879105,0.010777661985828,-0.0159789236214569,0.00517693891937441,-0.0196525144835521,0.00885052978146958
4,"1",-0.0172002955160408,0.98,-0.0343790124916512,0.0171787169756104,-0.0343790124916512,0.0171787169756104,-0.0196525144835521,0.00245221896751125
4,"2",-0.0208371752835831,0.987,-0.0343790124916512,0.0135418372080681,-0.0218545284731524,0.00101735318956926,-0.0196525144835521,-0.00118466080003102
4,"3",-0.0251258600885532,0.993,-0.0343790124916512,0.00925315240309806,-0.0210859203235099,-0.00403993976504329,-0.0196525144835521,-0.00547334560500107
