"delta_t","2","5","4","7","1","3"
1.162,NA,NA,10.359,NA,NA,NA
1.163,13.001,9.958,NA,11.502,9.958,12.005
1.329,12.994,NA,10.337,NA,NA,11.986
1.33,NA,9.94,NA,11.47,9.952,NA
1.496,13.003,9.915,10.322,11.447,9.951,11.967
1.662,NA,9.901,10.297,11.413,NA,NA
1.663,12.976,NA,NA,NA,9.943,11.954
1.829,12.967,9.882,10.28,11.38,NA,11.941
1.83,NA,NA,NA,NA,9.938,NA
1.996,12.965,9.866,10.272,11.363,9.931,11.92
2.162,NA,9.853,NA,11.334,9.917,NA
2.163,12.963,NA,10.251,NA,NA,11.904
2.329,12.954,9.84,10.234,11.306,NA,11.888
2.33,NA,NA,NA,NA,9.915,NA
2.496,12.956,9.826,10.226,11.297,9.917,11.88
2.662,12.948,9.806,NA,11.258,NA,NA
2.663,NA,NA,10.212,NA,9.913,11.856
2.829,12.931,9.8,10.193,11.24,9.901,NA
2.83,NA,NA,NA,NA,NA,11.842
2.996,12.938,9.781,10.171,11.216,9.902,11.829
3.163,12.926,9.766,10.16,11.18,9.9,11.816
3.329,12.919,9.754,10.153,11.163,9.899,NA
3.33,NA,NA,NA,NA,NA,11.809
3.496,12.913,9.742,10.136,11.145,9.887,11.812
3.662,12.907,NA,10.115,NA,NA,11.801
3.663,NA,9.727,NA,11.12,9.879,NA
3.829,12.908,9.709,NA,11.102,9.881,11.784
3.83,NA,NA,10.107,NA,NA,NA
3.996,12.9,9.703,10.091,11.08,9.87,11.776
4.162,NA,9.684,NA,NA,9.869,NA
4.163,12.893,NA,10.081,11.069,NA,11.768
4.329,12.887,9.68,10.069,11.042,9.872,11.753
4.496,12.888,9.663,10.06,11.024,9.859,11.744
4.662,NA,NA,10.043,11.005,NA,NA
4.663,12.882,9.659,NA,NA,9.86,11.731
4.829,NA,9.644,10.031,10.986,NA,11.724
4.83,12.879,NA,NA,NA,9.847,NA
4.996,12.875,9.636,10.02,10.968,9.849,11.699
5.163,12.849,9.62,10.009,10.955,9.85,11.692
5.329,12.862,9.614,9.998,10.936,NA,11.684
5.33,NA,NA,NA,NA,9.843,NA
5.496,12.851,9.601,9.983,10.916,9.836,11.66
5.662,12.842,NA,9.971,NA,NA,NA
5.663,NA,9.59,NA,10.892,9.842,11.665
5.829,12.848,9.584,9.962,NA,NA,11.653
5.83,NA,NA,NA,10.886,9.829,NA
5.996,12.837,9.571,9.953,10.87,9.83,11.633
6.162,12.836,NA,9.933,NA,NA,NA
6.163,NA,9.562,NA,10.856,9.828,11.625
6.329,NA,9.555,NA,10.839,9.817,11.626
6.33,12.828,NA,9.936,NA,NA,NA
6.496,12.826,9.547,9.921,10.828,9.814,11.616
6.662,NA,NA,9.918,10.81,NA,NA
6.663,12.818,9.54,NA,NA,9.813,11.605
6.829,NA,9.532,9.91,10.803,9.804,NA
6.83,12.82,NA,NA,NA,NA,11.598
6.996,12.816,9.524,9.9,10.787,9.806,11.582
7.162,NA,9.52,9.89,10.773,NA,NA
7.163,12.816,NA,NA,NA,9.807,11.569
7.329,12.812,9.511,9.891,10.759,NA,11.563
7.33,NA,NA,NA,NA,9.799,NA
7.496,12.814,9.504,9.883,10.745,9.805,11.553
7.662,NA,9.495,NA,NA,NA,11.541
7.663,12.81,NA,9.872,10.731,9.799,NA
7.829,12.801,9.486,NA,10.716,9.801,11.529
7.83,NA,NA,9.858,NA,NA,NA
7.996,12.799,9.482,9.853,10.708,9.794,11.526
8.162,12.797,9.467,NA,NA,9.792,11.515
8.163,NA,NA,9.846,10.695,NA,NA
8.329,NA,9.463,9.84,10.685,9.79,11.517
8.33,12.784,NA,NA,NA,NA,NA
8.496,12.79,9.457,9.83,10.675,9.785,11.509
8.662,12.781,9.45,NA,NA,9.785,11.5
8.663,NA,NA,9.822,10.662,NA,NA
8.829,12.781,9.439,9.822,10.655,9.788,11.503
8.996,12.777,9.437,9.813,10.638,9.784,11.498
9.162,12.777,9.432,NA,NA,9.781,11.489
9.163,NA,NA,9.815,10.63,NA,NA
9.329,12.771,9.427,9.802,NA,9.784,11.498
9.33,NA,NA,NA,10.625,NA,NA
9.496,12.771,9.421,9.794,10.613,9.781,11.472
9.662,12.764,9.415,NA,NA,9.771,11.456
9.663,NA,NA,9.792,10.605,NA,NA
9.829,12.767,9.409,9.781,10.597,9.773,11.443
9.996,12.757,9.4,9.782,10.586,9.774,11.418
10.162,NA,NA,NA,NA,9.763,NA
10.163,12.758,9.4,9.771,10.578,NA,11.414
10.329,12.755,9.391,NA,10.561,NA,NA
10.33,NA,NA,9.769,NA,9.767,11.404
10.496,12.749,9.389,9.757,10.559,9.76,11.398
10.662,NA,9.383,NA,NA,9.764,NA
10.663,12.749,NA,9.754,10.552,NA,11.392
10.829,12.733,9.381,9.753,10.549,9.764,11.389
10.996,12.74,9.372,9.741,10.535,9.757,11.382
11.162,12.733,9.368,NA,10.526,9.755,NA
11.163,NA,NA,9.742,NA,NA,11.377
11.329,12.745,9.364,9.738,10.514,9.757,11.363
11.496,12.742,9.366,9.737,10.505,9.751,11.358
11.662,12.738,9.355,NA,10.502,9.754,NA
11.663,NA,NA,9.728,NA,NA,11.354
11.829,12.727,NA,9.724,10.493,NA,11.352
11.83,NA,9.353,NA,NA,9.756,NA
11.996,12.723,9.348,9.718,10.483,9.753,11.348
12.162,12.73,9.341,NA,NA,9.752,NA
12.163,NA,NA,9.71,10.477,NA,11.34
12.329,NA,NA,9.714,10.463,NA,NA
12.33,12.725,9.342,NA,NA,9.757,11.336
12.496,12.719,9.337,9.704,10.464,9.745,11.335
12.662,NA,NA,NA,10.454,9.754,NA
12.663,12.711,9.327,9.7,NA,NA,11.327
12.829,NA,9.325,NA,10.448,9.749,11.328
12.83,12.704,NA,9.697,NA,NA,NA
12.996,12.709,9.328,9.69,10.446,9.741,11.316
13.162,NA,9.316,NA,NA,NA,11.314
13.163,12.71,NA,9.688,10.443,9.74,NA
13.329,12.717,9.317,9.689,10.437,9.748,11.309
13.496,12.711,9.315,9.673,10.428,9.746,11.312
13.662,NA,9.315,NA,10.417,9.749,11.302
13.663,12.708,NA,9.676,NA,NA,NA
13.829,12.701,NA,9.677,10.414,9.738,NA
13.83,NA,9.304,NA,NA,NA,11.294
13.996,12.705,9.302,9.663,10.415,9.745,11.296
14.162,NA,NA,NA,10.41,9.745,11.288
14.163,12.701,9.303,9.664,NA,NA,NA
14.329,12.696,9.306,9.666,NA,NA,NA
14.33,NA,NA,NA,10.401,9.738,11.29
14.496,12.689,9.301,9.653,10.397,9.738,11.284
14.662,NA,NA,NA,10.389,9.739,11.283
14.663,12.688,9.292,9.651,NA,NA,NA
14.829,12.687,9.292,9.649,10.384,9.737,11.275
14.996,12.69,9.294,9.642,10.383,9.735,11.265
15.162,NA,NA,9.636,NA,NA,11.264
15.163,12.684,9.289,NA,10.374,9.729,NA
15.329,12.68,9.288,NA,10.37,9.73,NA
15.33,NA,NA,9.63,NA,NA,11.259
15.496,12.677,9.284,9.629,10.367,9.733,11.252
15.662,12.675,NA,9.63,NA,NA,NA
15.663,NA,9.282,NA,10.361,9.722,11.256
15.829,12.676,9.28,9.63,10.36,9.729,11.254
15.996,12.667,9.274,9.622,10.36,9.729,11.248
16.162,NA,NA,NA,10.348,9.721,11.238
16.163,12.666,9.269,9.619,NA,NA,NA
16.329,12.663,9.273,NA,NA,9.739,NA
16.33,NA,NA,9.619,10.339,NA,11.238
16.496,12.669,9.26,9.613,10.334,9.734,11.232
16.662,NA,NA,NA,NA,9.722,NA
16.663,12.66,9.256,9.606,10.327,NA,11.227
16.829,NA,NA,9.604,10.33,9.731,NA
16.83,12.667,9.262,NA,NA,NA,11.232
16.996,12.658,9.272,9.607,10.336,9.73,11.22
17.162,12.666,NA,NA,10.363,9.74,NA
17.163,NA,9.295,9.621,NA,NA,11.213
17.329,12.682,NA,NA,10.381,9.761,NA
17.33,NA,9.305,9.635,NA,NA,11.22
17.496,12.708,9.315,9.651,10.383,9.788,11.228
17.662,NA,9.314,NA,NA,9.793,NA
17.663,12.732,NA,9.665,10.388,NA,11.233
17.829,12.745,9.319,NA,NA,9.811,NA
17.83,NA,NA,9.67,10.394,NA,11.24
17.996,12.76,9.328,9.678,10.393,9.815,11.238
18.162,NA,9.327,NA,NA,9.821,11.253
18.163,12.754,NA,9.674,10.39,NA,NA
18.329,12.769,NA,NA,10.398,9.826,11.26
18.33,NA,9.324,9.677,NA,NA,NA
18.496,12.769,9.324,9.682,10.394,9.829,11.26
18.662,NA,NA,NA,NA,NA,11.263
18.663,12.781,9.318,9.68,10.392,9.824,NA
18.829,12.774,9.324,9.674,10.391,9.82,11.27
18.996,12.778,9.325,9.665,10.389,9.819,11.261
19.162,NA,NA,9.668,10.389,NA,NA
19.163,12.781,9.318,NA,NA,9.826,11.263
19.329,12.786,9.318,9.664,10.378,9.83,11.28
19.496,12.788,9.324,9.668,10.382,9.822,11.271
19.662,NA,9.316,9.663,NA,9.832,NA
19.663,12.785,NA,NA,10.382,NA,11.264
19.829,NA,9.319,9.665,10.382,9.831,11.259
19.83,12.784,NA,NA,NA,NA,NA
19.996,12.795,9.327,9.666,10.38,9.836,11.26
20.162,NA,NA,9.667,10.381,9.831,11.262
20.163,12.791,9.321,NA,NA,NA,NA
20.329,12.798,9.318,9.664,10.382,9.837,11.254
20.496,12.794,9.315,9.664,10.377,9.831,11.26
20.662,12.798,9.32,NA,NA,NA,NA
20.663,NA,NA,9.666,10.374,9.838,11.262
20.829,12.797,9.315,9.661,10.375,NA,NA
20.83,NA,NA,NA,NA,9.842,11.259
20.996,12.805,9.314,9.667,10.372,9.847,11.251
21.162,NA,9.311,NA,10.368,NA,NA
21.163,12.801,NA,9.665,NA,9.841,11.268
21.329,12.808,NA,NA,10.374,NA,11.258
21.33,NA,9.322,9.665,NA,9.851,NA
21.496,12.807,9.322,9.664,10.367,9.844,11.261
21.662,12.809,NA,NA,NA,NA,11.257
21.663,NA,9.317,9.67,10.375,9.84,NA
21.829,12.815,NA,9.673,10.369,NA,11.256
21.83,NA,9.32,NA,NA,9.851,NA
21.996,12.818,9.32,9.666,10.375,9.851,11.257
22.162,NA,NA,NA,NA,NA,11.246
22.163,12.814,9.319,9.672,10.373,9.853,NA
22.329,NA,9.318,NA,10.371,NA,11.248
22.33,12.821,NA,9.667,NA,9.858,NA
22.496,12.818,9.322,9.668,10.366,9.856,11.256
22.662,NA,9.319,NA,NA,NA,11.252
22.663,12.809,NA,9.671,10.375,9.86,NA
22.829,NA,9.315,NA,10.375,NA,11.256
22.83,12.817,NA,9.664,NA,9.867,NA
22.996,12.813,9.328,9.667,10.366,9.86,11.25
23.162,12.822,NA,9.668,NA,9.86,11.247
23.163,NA,9.318,NA,10.368,NA,NA
23.329,NA,9.319,9.66,10.364,9.862,11.257
23.33,12.82,NA,NA,NA,NA,NA
23.496,12.824,9.318,9.661,10.369,9.868,11.264
23.662,NA,9.32,NA,NA,9.871,NA
23.663,12.821,NA,9.662,10.364,NA,11.264
23.829,12.824,9.318,NA,NA,9.868,NA
23.83,NA,NA,9.656,10.353,NA,11.269
23.996,12.824,9.317,9.656,10.358,9.865,11.268
24.162,12.824,9.3,NA,NA,NA,NA
24.163,NA,NA,9.645,10.349,9.858,11.259
24.329,NA,NA,9.649,10.353,9.86,11.259
24.33,12.82,9.308,NA,NA,NA,NA
24.496,12.819,9.304,9.653,10.346,9.863,11.265
24.662,12.813,9.299,NA,NA,NA,NA
24.663,NA,NA,9.645,10.342,9.86,11.259
24.829,NA,9.3,9.641,10.335,9.861,11.247
24.83,12.807,NA,NA,NA,NA,NA
24.996,12.81,9.303,9.632,10.342,9.861,11.259
25.162,NA,NA,NA,10.334,NA,NA
25.163,12.809,9.3,9.635,NA,9.861,11.253
25.329,NA,NA,9.638,10.334,9.856,11.26
25.33,12.812,9.299,NA,NA,NA,NA
25.496,12.812,9.302,9.635,10.335,9.861,11.256
25.662,12.81,NA,9.632,10.329,9.859,11.258
25.663,NA,9.299,NA,NA,NA,NA
25.829,NA,9.301,NA,10.328,9.864,11.255
25.83,12.817,NA,9.634,NA,NA,NA
25.996,12.817,9.299,9.643,10.329,9.853,11.256
26.162,NA,9.296,9.632,NA,NA,NA
26.163,12.815,NA,NA,10.33,9.871,11.251
26.33,12.812,9.298,9.631,10.332,9.867,11.262
26.496,12.819,9.298,9.633,10.33,9.869,11.255
26.662,12.825,NA,9.638,10.32,9.864,11.266
26.663,NA,9.291,NA,NA,NA,NA
26.829,12.812,9.293,9.632,10.326,9.864,11.249
26.996,12.811,9.295,9.638,10.323,9.861,11.251
27.163,12.813,9.299,9.629,10.322,9.868,11.248
27.329,NA,9.289,9.632,10.326,9.864,NA
27.33,12.815,NA,NA,NA,NA,11.246
27.496,12.811,9.294,9.628,10.323,9.866,11.24
27.662,NA,NA,NA,NA,NA,11.245
27.663,12.813,9.286,9.622,10.317,9.866,NA
27.829,12.804,9.29,9.627,10.32,9.866,11.242
27.996,12.815,9.286,9.611,10.315,9.867,11.238
28.162,12.81,NA,NA,NA,NA,NA
28.163,NA,9.286,9.615,10.317,9.874,11.24
28.329,12.806,9.286,NA,NA,9.867,11.235
28.33,NA,NA,9.613,10.316,NA,NA
28.496,12.803,9.29,9.616,10.31,9.866,11.24
28.662,NA,NA,9.603,NA,9.869,11.241
28.663,12.805,9.268,NA,10.29,NA,NA
28.829,12.79,9.251,9.596,10.274,9.852,11.231
28.996,12.777,9.236,9.571,10.264,9.825,11.226
29.162,NA,NA,NA,10.255,9.818,NA
29.163,12.756,9.234,9.565,NA,NA,11.22
29.329,12.74,9.223,9.549,10.237,9.81,11.21
29.496,12.731,9.214,9.535,10.232,9.794,11.203
29.663,12.72,9.213,9.536,10.224,9.794,11.186
29.829,12.702,9.208,9.529,10.221,9.786,11.182
29.996,12.7,9.203,9.513,10.214,9.777,11.165
