"delta_t","1","2","3","5","7","4"
40.16,NA,NA,NA,NA,10.493,NA
40.161,10.713,11.415,12.029,8.898,NA,9.457
40.327,10.719,11.418,12.04,8.889,10.489,9.459
40.494,10.713,11.425,12.046,8.892,10.495,9.466
40.66,NA,NA,NA,8.906,10.499,NA
40.661,10.733,11.435,12.047,NA,NA,9.474
40.827,10.731,11.436,12.049,8.905,10.502,9.468
40.994,10.738,11.442,12.05,8.904,10.502,9.471
41.161,10.746,11.449,12.052,8.905,10.508,9.483
41.328,10.742,11.449,12.053,8.905,10.509,9.478
41.494,10.745,11.455,12.057,8.923,10.515,9.477
41.66,NA,11.463,12.071,NA,10.519,9.478
41.661,10.743,NA,NA,8.917,NA,NA
41.827,10.752,11.464,12.082,8.915,10.522,9.476
41.994,10.763,11.477,12.081,8.921,10.522,9.476
42.16,NA,NA,NA,8.92,NA,NA
42.161,10.759,11.471,12.072,NA,10.524,9.489
42.327,10.766,11.476,12.087,NA,10.527,NA
42.328,NA,NA,NA,8.933,NA,9.484
42.494,10.769,11.481,12.092,8.932,10.528,9.494
42.66,10.774,11.49,12.106,8.948,10.528,9.49
42.828,10.775,11.496,12.109,8.96,10.531,9.502
42.994,10.782,11.49,12.124,8.963,10.536,9.496
43.16,NA,11.496,12.117,8.958,10.544,NA
43.161,10.786,NA,NA,NA,NA,9.508
43.328,10.795,11.501,12.106,8.95,10.548,9.49
43.494,10.788,11.498,12.128,8.959,10.54,9.506
43.661,10.802,11.514,12.131,8.956,10.547,9.498
43.827,10.803,NA,NA,8.958,NA,NA
43.828,NA,11.512,12.119,NA,10.552,9.509
43.994,10.808,11.519,12.133,8.958,10.556,9.507
44.161,10.813,11.522,12.159,8.959,10.553,9.499
44.327,NA,11.533,NA,NA,10.557,NA
44.328,10.82,NA,12.147,8.951,NA,9.503
44.494,10.822,11.526,12.15,8.971,10.56,9.516
44.66,NA,NA,NA,8.968,NA,9.503
44.661,10.826,11.538,12.144,NA,10.565,NA
44.827,10.833,11.542,12.165,8.973,10.562,9.516
44.994,10.843,11.553,12.165,8.987,10.562,9.511
45.16,10.854,11.552,12.158,8.984,10.567,9.516
45.327,10.86,NA,NA,8.97,NA,NA
45.328,NA,11.564,12.168,NA,10.57,9.521
45.494,10.856,11.559,12.168,8.967,10.569,9.518
45.661,10.865,11.564,12.169,8.963,10.575,9.508
45.827,10.872,NA,12.172,NA,NA,NA
45.828,NA,11.578,NA,8.975,10.576,9.505
45.994,10.873,11.575,12.181,8.967,10.581,9.508
46.161,10.873,11.58,12.201,8.978,10.583,9.518
46.327,10.879,11.595,12.17,8.974,10.586,9.51
46.494,10.89,11.588,12.19,8.968,10.585,9.512
46.661,10.893,11.599,12.188,8.989,10.591,9.52
46.827,10.894,11.596,12.192,8.983,10.592,9.517
46.994,10.898,11.596,12.202,8.984,10.587,9.525
47.16,10.911,11.597,12.209,8.983,10.591,NA
47.161,NA,NA,NA,NA,NA,9.517
47.328,10.92,11.606,12.216,8.982,10.594,9.526
47.494,10.919,11.619,12.223,8.984,10.592,9.521
47.661,10.926,11.613,12.213,8.982,10.595,9.53
47.827,10.924,11.629,12.208,8.975,10.605,9.528
47.994,10.927,11.631,12.213,8.981,10.607,9.53
48.161,10.929,11.631,12.233,8.991,10.61,9.524
48.327,10.934,11.63,12.239,8.993,NA,9.524
48.328,NA,NA,NA,NA,10.604,NA
48.494,10.937,11.631,12.236,8.985,10.613,9.533
48.661,10.947,11.652,12.225,8.989,10.612,9.525
48.827,10.953,11.655,12.234,9.002,10.623,9.525
48.994,10.943,11.659,12.242,9.012,10.616,9.534
49.161,10.955,11.663,12.262,9.008,10.626,9.53
49.327,NA,NA,NA,9.02,10.624,9.536
49.328,10.962,11.669,12.267,NA,NA,NA
49.494,10.97,11.671,12.253,9.017,10.64,9.533
49.66,NA,NA,NA,NA,NA,9.525
49.661,10.978,11.678,12.261,9.036,10.627,NA
49.827,NA,11.693,12.269,9.029,10.63,9.527
49.828,10.986,NA,NA,NA,NA,NA
49.994,10.992,11.689,12.266,9.036,10.605,9.53
50.16,10.989,NA,NA,NA,NA,9.528
50.161,NA,11.708,12.284,9.03,10.603,NA
50.327,NA,NA,12.277,9.033,NA,9.536
50.328,10.995,11.699,NA,NA,10.634,NA
50.494,11.012,11.712,12.296,9.048,10.673,9.54
50.661,11.028,11.715,12.312,9.065,10.653,9.549
50.827,11.034,11.725,NA,NA,NA,9.541
50.828,NA,NA,12.319,9.07,10.655,NA
50.994,11.048,11.729,12.343,9.059,10.658,9.55
51.16,NA,NA,12.338,NA,10.662,NA
51.161,11.057,11.739,NA,9.079,NA,9.559
51.327,11.063,11.747,NA,9.068,NA,9.554
51.328,NA,NA,12.347,NA,10.659,NA
51.494,11.068,11.75,12.351,9.068,10.656,9.553
51.66,11.056,NA,NA,9.077,NA,NA
51.661,NA,11.767,12.355,NA,10.661,9.557
51.827,11.071,11.768,12.348,9.09,NA,9.556
51.828,NA,NA,NA,NA,10.655,NA
51.994,11.081,11.775,12.364,9.086,10.669,9.569
52.16,NA,11.778,12.371,9.088,NA,NA
52.161,11.089,NA,NA,NA,10.668,9.565
52.327,NA,11.787,12.385,9.081,NA,NA
52.328,11.095,NA,NA,NA,10.67,9.557
52.494,11.1,11.79,12.377,9.089,10.671,9.569
52.66,11.106,11.804,12.386,NA,NA,NA
52.661,NA,NA,NA,9.071,10.665,9.559
52.827,11.113,11.805,NA,9.098,10.66,9.563
52.828,NA,NA,12.385,NA,NA,NA
52.994,11.116,11.813,12.38,9.096,10.664,9.566
53.161,11.116,11.812,12.405,9.085,10.669,9.571
53.327,11.12,11.829,12.401,9.093,NA,NA
53.328,NA,NA,NA,NA,10.67,9.569
53.494,11.132,11.827,12.407,9.101,10.673,9.577
53.66,11.145,11.839,12.398,9.114,NA,9.573
53.661,NA,NA,NA,NA,10.673,NA
53.827,11.149,11.847,12.402,9.114,NA,9.577
53.828,NA,NA,NA,NA,10.672,NA
53.994,11.161,11.856,12.412,9.099,10.675,9.572
54.161,11.163,11.849,12.412,9.098,10.676,9.583
54.327,NA,11.864,12.413,NA,NA,NA
54.328,11.175,NA,NA,9.099,10.685,9.581
54.494,11.188,11.864,12.426,9.106,10.68,9.58
54.661,11.18,11.874,12.433,9.096,10.68,9.576
54.827,11.188,11.873,12.438,9.09,10.679,9.574
54.994,11.2,11.884,12.434,9.102,10.693,9.586
55.161,11.205,11.882,12.438,9.111,10.682,9.571
55.327,11.211,11.901,12.444,9.123,NA,9.586
55.328,NA,NA,NA,NA,10.694,NA
55.494,11.209,11.896,12.448,9.109,10.704,9.585
55.661,11.214,11.906,12.455,9.114,10.701,9.596
55.827,NA,11.919,12.451,NA,NA,9.588
55.828,11.229,NA,NA,9.117,10.698,NA
55.994,11.243,11.914,12.459,9.108,10.692,9.56
56.16,NA,11.912,12.442,NA,NA,NA
56.161,11.239,NA,NA,9.104,10.674,9.54
56.327,11.22,11.889,NA,9.097,10.65,9.53
56.328,NA,NA,12.426,NA,NA,NA
56.494,11.197,11.883,12.408,9.097,10.653,9.515
56.66,NA,11.867,12.401,NA,NA,NA
56.661,11.19,NA,NA,9.099,10.645,9.505
56.827,11.186,11.86,12.381,9.094,10.637,9.49
56.994,11.163,11.863,12.38,9.076,10.627,9.494
57.16,NA,11.852,12.371,NA,NA,NA
57.161,11.178,NA,NA,9.078,10.623,9.5
57.327,11.158,11.847,12.379,9.085,10.623,9.489
57.494,11.161,11.846,12.366,9.079,10.616,9.491
57.66,NA,11.845,NA,NA,NA,NA
