Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm
,,D,,"Device Nr: #1, DIVING-PAM-II (UWFC0119A)",,,,,,,,,,,,,,,
24-05-26,14:48:57.231,F,415,35,44,45,0,0,31,0.84,0,0,0,0,0,0,32,46,0.304
24-05-26,14:49:09.144,SLCE,,Light Curve end,,,,,,,,,,,,,,,
24-05-26,14:49:40.314,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,14:49:40.314,REG1,,"#1: alpha: 0.060, ETRm: 15.399, Ik: 257.291   ( beta: 0.017, ETRmPot: 30.464 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
24-05-26,14:49:40.314,REG2,,"#1: alpha: 0.024, ETRm: 10.933, Ik: 447.676   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
24-05-26,14:49:41.820,FO,416,21,34,0,0,0,0,0.84,0,0,0,0,0,0,21,34,0.382
24-05-26,14:50:01.809,F,417,49,62,25,0.210,2.2,46,0.84,0.813,-0.231,0.763,-0.452,1.441,-0.651,21,34,0.382
24-05-26,14:50:21.792,F,418,56,69,45,0.188,3.6,52,0.84,0.765,-0.308,0.710,-0.507,1.647,-0.835,21,34,0.382
24-05-26,14:50:41.786,F,419,67,79,66,0.152,4.2,60,0.84,0.632,-0.462,0.566,-0.570,1.971,-1.123,21,34,0.382
24-05-26,14:51:01.770,F,420,80,93,91,0.140,5.4,76,0.84,0.765,-0.308,0.727,-0.634,2.353,-1.493,21,34,0.382
24-05-26,14:51:21.762,F,421,84,94,127,0.106,5.7,76,0.84,0.556,-0.385,0.503,-0.638,2.471,-1.577,21,34,0.382
24-05-26,14:51:41.751,F,422,86,94,192,0.085,6.9,76,0.84,0.444,-0.385,0.392,-0.638,2.529,-1.614,21,34,0.382
24-05-26,14:52:01.737,F,423,100,109,288,0.083,10.0,90,0.84,0.474,-0.462,0.427,-0.688,2.941,-2.024,21,34,0.382
24-05-26,14:52:21.733,F,424,101,109,424,0.073,13.0,86,0.84,0.348,-0.769,0.296,-0.688,2.971,-2.044,21,34,0.382
24-05-26,14:52:41.704,F,425,92,96,635,0.042,11.2,75,0.84,0.190,-0.615,0.155,-0.646,2.706,-1.748,21,34,0.382
24-05-26,14:53:01.705,F,426,85,89,829,0.045,15.7,71,0.84,0.222,-0.385,0.185,-0.618,2.500,-1.545,21,34,0.382
24-05-26,14:53:21.698,F,427,88,90,1160,0.022,10.7,70,0.84,0.100,-0.538,0.080,-0.622,2.588,-1.610,21,34,0.382
24-05-26,14:53:41.706,F,428,81,85,1513,0.047,29.9,65,0.84,0.200,-0.538,0.160,-0.600,2.382,-1.429,21,34,0.382
24-05-26,14:53:49.395,SLCE,,Light Curve end,,,,,,,,,,,,,,,
24-05-26,14:59:54.178,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,14:59:54.178,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.009, ETRmPot: 21.523 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
24-05-26,14:59:54.178,REG2,,"#1: alpha: 0.090, ETRm: 27.661, Ik: 307.872   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
24-05-26,14:59:55.577,FO,429,43,70,0,0.386,0.0,0,0.84,0,0,0,0,0,0,43,70,0.386
24-05-26,15:00:15.566,F,430,46,69,25,0.333,3.5,40,0.84,0.793,-0.074,0.690,0.014,0.657,0.010,43,70,0.386
24-05-26,15:00:35.555,F,431,47,67,45,0.299,5.7,40,0.84,0.741,0.000,0.631,0.045,0.671,0.030,43,70,0.386
24-05-26,15:00:55.543,F,432,49,66,66,0.258,7.2,38,0.84,0.607,-0.037,0.471,0.061,0.700,0.042,43,70,0.386
24-05-26,15:01:15.527,F,433,49,67,91,0.269,10.3,39,0.84,0.643,-0.037,0.512,0.045,0.700,0.031,43,70,0.386
24-05-26,15:01:35.521,F,434,53,67,127,0.209,11.1,41,0.84,0.538,0.037,0.416,0.045,0.757,0.034,43,70,0.386
24-05-26,15:01:55.509,F,435,52,63,192,0.175,14.1,36,0.84,0.407,0.000,0.282,0.111,0.743,0.082,43,70,0.386
24-05-26,15:02:15.496,F,436,49,57,288,0.140,16.9,33,0.84,0.333,0.111,0.224,0.228,0.700,0.160,43,70,0.386
24-05-26,15:02:35.487,F,437,46,54,424,0.148,26.4,28,0.84,0.308,0.037,0.187,0.296,0.657,0.195,43,70,0.386
24-05-26,15:02:55.475,F,438,45,50,635,0.100,26.7,32,0.84,0.278,0.333,0.198,0.400,0.643,0.257,43,70,0.386
24-05-26,15:03:15.469,F,439,45,49,829,0,0,33,0.84,0,0,0,0,0,0,43,70,0.386
24-05-26,15:03:35.477,F,440,45,49,1160,0,0,31,0.84,0,0,0,0,0,0,43,70,0.386
24-05-26,15:03:53.487,SLCE,,Light Curve end,,,,,,,,,,,,,,,
24-05-26,15:05:44.286,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,15:05:45.685,FO,441,9,31,0,0,0,0,0.84,0,0,0,0,0,0,9,31,0
24-05-26,15:06:05.671,F,442,10,27,25,0,0,4,0.84,0,0,0,0,0,0,9,31,0
24-05-26,15:06:25.668,F,443,9,26,45,0,0,0,0.84,0,0,0,0,0,0,9,31,0
24-05-26,15:06:38.673,SLCE,,Light Curve end,,,,,,,,,,,,,,,
24-05-26,15:08:00.228,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,15:08:00.228,REG1,,"#1: alpha: 0.064, ETRm: 25.459, Ik: 396.039   ( beta: 0.002, ETRmPot: 29.069 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
24-05-26,15:08:00.228,REG2,,"#1: alpha: 0.051, ETRm: 25.245, Ik: 496.017   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
24-05-26,15:08:01.621,FO,444,15,59,0,0.746,0.0,0,0.84,0,0,0,0,0,0,15,59,0.746
24-05-26,15:08:21.606,F,445,49,61,25,0.197,2.1,45,0.84,0.750,0.636,0.689,-0.033,0.831,-0.028,15,59,0.746
24-05-26,15:08:41.599,F,446,50,62,45,0.194,3.7,47,0.84,0.800,0.659,0.752,-0.048,0.847,-0.041,15,59,0.746
24-05-26,15:09:01.584,F,447,51,62,66,0.177,4.9,46,0.84,0.688,0.636,0.621,-0.048,0.864,-0.041,15,59,0.746
24-05-26,15:09:21.582,F,448,52,59,91,0.119,4.5,44,0.84,0.467,0.659,0.395,0.000,0.881,0.000,15,59,0.746
24-05-26,15:09:41.564,F,449,49,60,127,0.183,9.8,43,0.84,0.647,0.614,0.568,-0.017,0.831,-0.014,15,59,0.746
24-05-26,15:10:01.554,F,450,51,59,192,0.136,11.0,46,0.84,0.615,0.705,0.555,0.000,0.864,0.000,15,59,0.746
24-05-26,15:10:21.547,F,451,53,60,288,0.117,14.2,46,0.84,0.500,0.682,0.434,-0.017,0.898,-0.015,15,59,0.746
24-05-26,15:10:41.534,F,452,54,58,424,0.069,12.3,43,0.84,0.267,0.659,0.213,0.017,0.915,0.016,15,59,0.746
24-05-26,15:11:01.524,F,453,57,62,634,0.081,21.6,46,0.84,0.313,0.636,0.253,-0.048,0.966,-0.047,15,59,0.746
24-05-26,15:11:21.514,F,454,56,60,828,0.067,23.3,45,0.84,0.267,0.659,0.215,-0.017,0.949,-0.016,15,59,0.746
24-05-26,15:11:41.440,F,455,51,54,1160,0.056,27.3,41,0.84,0.231,0.705,0.186,0.093,0.864,0.080,15,59,0.746
24-05-26,15:12:01.486,F,456,51,53,1511,0.038,24.1,41,0.84,0.167,0.727,0.134,0.113,0.864,0.098,15,59,0.746
24-05-26,15:12:09.856,SLCE,,Light Curve end,,,,,,,,,,,,,,,
24-05-26,15:15:34.224,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,15:15:34.224,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.032, ETRmPot: 3.859 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
24-05-26,15:15:34.224,REG2,,"#1: alpha: 0.092, ETRm: 10.756, Ik: 117.200   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
24-05-26,15:15:35.614,FO,457,52,77,0,0.325,0.0,0,0.84,0,0,0,0,0,0,52,77,0.325
24-05-26,15:15:55.602,F,458,73,94,25,0.223,2.3,66,0.84,0.750,-0.120,0.678,-0.181,0.948,-0.171,52,77,0.325
24-05-26,15:16:15.594,F,459,103,130,45,0.208,3.9,99,0.84,0.871,-0.240,0.837,-0.408,1.338,-0.546,52,77,0.325
24-05-26,15:16:35.584,F,460,152,190,66,0.200,5.5,139,0.84,0.745,-1.040,0.681,-0.595,1.974,-1.174,52,77,0.325
24-05-26,15:16:51.591,SLCE,,Light Curve end,,,,,,,,,,,,,,,
24-05-26,15:16:52.354,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,15:16:52.354,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.004, ETRmPot: 9.333 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
24-05-26,15:16:52.354,REG2,,"#1: alpha: 0.057, ETRm: 13.672, Ik: 238.025   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
24-05-26,15:16:53.739,FO,461,158,205,0,0.229,0.0,0,0.84,0,0,0,0,0,0,158,205,0.229
24-05-26,15:17:13.737,F,462,145,182,25,0.203,2.1,123,0.84,0.627,-0.255,0.532,0.126,0.707,0.090,158,205,0.229
24-05-26,15:17:33.721,F,463,129,156,45,0.173,3.3,113,0.84,0.628,0.085,0.550,0.314,0.629,0.198,158,205,0.229
24-05-26,15:17:53.715,F,464,122,147,66,0.170,4.7,109,0.84,0.658,0.191,0.588,0.395,0.595,0.235,158,205,0.229
24-05-26,15:18:13.696,F,465,125,150,91,0.167,6.4,108,0.84,0.595,0.106,0.514,0.367,0.610,0.223,158,205,0.229
24-05-26,15:18:33.685,F,466,161,190,127,0.153,8.2,140,0.84,0.580,-0.064,0.504,0.079,0.785,0.062,158,205,0.229
24-05-26,15:18:53.676,F,467,197,219,192,0.100,8.1,158,0.84,0.361,-0.298,0.290,-0.064,0.961,-0.061,158,205,0.229
24-05-26,15:19:13.670,F,468,190,209,288,0.091,11.0,160,0.84,0.388,-0.043,0.327,-0.019,0.927,-0.018,158,205,0.229
24-05-26,15:19:33.650,F,469,217,228,424,0.048,8.5,167,0.84,0.180,-0.298,0.139,-0.101,1.059,-0.107,158,205,0.229
24-05-26,15:19:53.648,F,470,176,184,635,0.043,11.5,135,0.84,0.163,-0.043,0.125,0.114,0.859,0.098,158,205,0.229
24-05-26,15:20:13.630,F,471,176,184,829,0.043,15.0,126,0.84,0.138,-0.234,0.099,0.114,0.859,0.098,158,205,0.229
24-05-26,15:20:33.619,F,472,153,158,1160,0.032,15.6,119,0.84,0.128,0.170,0.100,0.297,0.746,0.222,158,205,0.229
24-05-26,15:20:53.610,F,473,157,161,1513,0.025,15.9,119,0.84,0.095,0.106,0.072,0.273,0.766,0.209,158,205,0.229
24-05-26,15:21:01.361,SLCE,,Light Curve end,,,,,,,,,,,,,,,
24-05-26,15:27:21.481,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,15:27:21.481,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.003, ETRmPot: 8.148 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
24-05-26,15:27:21.481,REG2,,"#1: alpha: 0.070, ETRm: 11.827, Ik: 169.493   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
24-05-26,15:27:22.875,FO,474,179,386,0,0.536,0.0,0,0.84,0,0,0,0,0,0,179,386,0.536
24-05-26,15:27:42.867,F,475,263,372,25,0.293,3.1,201,0.84,0.637,0.174,0.487,0.038,0.681,0.026,179,386,0.536
24-05-26,15:28:02.863,F,476,283,370,45,0.235,4.4,207,0.84,0.534,0.213,0.391,0.043,0.733,0.032,179,386,0.536
24-05-26,15:28:22.852,F,477,318,403,66,0.211,5.8,225,0.84,0.478,0.140,0.338,-0.042,0.824,-0.035,179,386,0.536
24-05-26,15:28:42.832,F,478,367,443,91,0.172,6.6,241,0.84,0.376,0.024,0.247,-0.129,0.951,-0.123,179,386,0.536
24-05-26,15:29:02.825,F,479,400,466,127,0.142,7.6,250,0.84,0.306,-0.043,0.191,-0.172,1.036,-0.178,179,386,0.536
24-05-26,15:29:22.815,F,480,425,471,192,0.098,7.9,249,0.84,0.207,-0.072,0.121,-0.180,1.101,-0.199,179,386,0.536
24-05-26,15:29:42.806,F,481,404,436,288,0.073,8.8,231,0.84,0.156,0.010,0.089,-0.115,1.047,-0.120,179,386,0.536
24-05-26,15:30:02.796,F,482,359,377,424,0.048,8.5,209,0.84,0.107,0.188,0.062,0.024,0.930,0.022,179,386,0.536
24-05-26,15:30:22.784,F,483,312,324,634,0.037,9.9,189,0.84,0.089,0.348,0.054,0.191,0.808,0.155,179,386,0.536
24-05-26,15:30:42.772,F,484,295,307,829,0.039,13.6,190,0.84,0.103,0.435,0.066,0.257,0.764,0.197,179,386,0.536
24-05-26,15:31:02.766,F,485,301,311,1160,0.032,15.6,193,0.84,0.085,0.430,0.055,0.241,0.780,0.188,179,386,0.536
24-05-26,15:31:22.749,F,486,285,291,1512,0.021,13.3,183,0.84,0.056,0.478,0.036,0.326,0.738,0.241,179,386,0.536
24-05-26,15:31:30.360,SLCE,,Light Curve end,,,,,,,,,,,,,,,
24-05-26,15:40:02.620,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,15:40:02.620,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 22.408 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
24-05-26,15:40:02.620,REG2,,"#1: alpha: 0.114, ETRm: 27.964, Ik: 245.418   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
24-05-26,15:40:04.021,FO,487,161,358,0,0.550,0.0,0,0.84,0,0,0,0,0,0,161,358,0.550
24-05-26,15:40:23.972,F,488,85,169,25,0.497,5.2,66,0.84,0.816,0.477,0.634,1.118,0.237,0.266,161,358,0.550
24-05-26,15:40:44.000,F,489,92,161,45,0.429,8.1,71,0.84,0.767,0.543,0.592,1.224,0.257,0.314,161,358,0.550
24-05-26,15:41:03.989,F,490,106,170,66,0.376,10.4,81,0.84,0.719,0.548,0.549,1.106,0.296,0.328,161,358,0.550
24-05-26,15:41:23.977,F,491,118,180,91,0.344,13.1,90,0.84,0.689,0.543,0.526,0.989,0.330,0.326,161,358,0.550
24-05-26,15:41:43.972,F,492,133,187,127,0.289,15.4,108,0.84,0.684,0.599,0.555,0.914,0.372,0.339,161,358,0.550
24-05-26,15:42:03.958,F,493,179,224,192,0.201,16.2,132,0.84,0.489,0.533,0.361,0.598,0.500,0.299,161,358,0.550
24-05-26,15:42:23.945,F,494,198,233,288,0.150,18.1,134,0.84,0.354,0.497,0.240,0.536,0.553,0.297,161,358,0.550
24-05-26,15:42:43.933,F,495,188,216,424,0.130,23.2,123,0.84,0.301,0.528,0.197,0.657,0.525,0.345,161,358,0.550
24-05-26,15:43:03.922,F,496,177,197,634,0.102,27.2,105,0.84,0.217,0.533,0.129,0.817,0.494,0.404,161,358,0.550
24-05-26,15:43:23.913,F,497,163,179,829,0.089,31.0,92,0.84,0.184,0.558,0.104,1.000,0.455,0.456,161,358,0.550
24-05-26,15:43:43.925,F,498,155,164,1159,0.055,26.8,86,0.84,0.115,0.604,0.064,1.183,0.433,0.512,161,358,0.550
24-05-26,15:44:03.914,F,499,136,143,1512,0.049,31.1,75,0.84,0.103,0.655,0.057,1.503,0.380,0.571,161,358,0.550
24-05-26,15:44:12.254,SLCE,,Light Curve end,,,,,,,,,,,,,,,
24-05-26,15:46:35.018,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,15:46:35.018,REG1,,"#1: alpha: 0.043, ETRm: 45.935, Ik: 1056.043   ( beta: 0.057, ETRmPot: 223.460 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
24-05-26,15:46:35.018,REG2,,"#1: alpha: 0.038, ETRm: 45.231, Ik: 1187.997   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
24-05-26,15:46:36.408,FO,500,96,136,0,0.294,0.0,0,0.84,0,0,0,0,0,0,96,136,0.294
24-05-26,15:46:56.403,F,501,125,148,25,0.155,1.6,104,0.84,0.523,-0.100,0.435,-0.081,0.919,-0.074,96,136,0.294
24-05-26,15:47:16.348,F,502,122,140,45,0.129,2.4,100,0.84,0.450,0.000,0.369,-0.029,0.897,-0.026,96,136,0.294
24-05-26,15:47:36.379,F,503,116,133,66,0.128,3.5,100,0.84,0.515,0.175,0.444,0.023,0.853,0.019,96,136,0.294
24-05-26,15:47:56.367,F,504,121,135,91,0.104,4.0,103,0.84,0.438,0.200,0.373,0.007,0.890,0.006,96,136,0.294
24-05-26,15:48:16.361,F,505,113,113,127,0.000,0.0,63,0.84,0.000,-0.250,0.000,0.204,0.831,0.169,96,136,0.294
24-05-26,15:48:36.348,F,506,68,78,192,0.128,10.3,58,0.84,0.500,0.500,0.426,0.744,0.500,0.372,96,136,0.294
24-05-26,15:48:56.332,F,507,67,78,288,0.141,17.1,58,0.84,0.550,0.500,0.476,0.744,0.493,0.366,96,136,0.294
24-05-26,15:49:16.329,F,508,65,71,424,0.085,15.1,50,0.84,0.286,0.475,0.220,0.915,0.478,0.437,96,136,0.294
24-05-26,15:49:36.317,F,509,61,66,634,0.076,20.2,47,0.84,0.263,0.525,0.203,1.061,0.449,0.475,96,136,0.294
24-05-26,15:49:56.302,F,510,53,56,829,0.054,18.8,40,0.84,0.188,0.600,0.142,1.429,0.390,0.556,96,136,0.294
24-05-26,15:50:16.286,F,511,50,55,1160,0.091,44.3,37,0.84,0.278,0.550,0.206,1.473,0.368,0.541,96,136,0.294
24-05-26,15:50:36.283,F,512,52,55,1512,0.055,34.9,39,0.84,0.188,0.600,0.141,1.473,0.382,0.563,96,136,0.294
24-05-26,15:50:44.315,SLCE,,Light Curve end,,,,,,,,,,,,,,,
24-05-26,15:53:36.476,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,15:53:36.476,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.010, ETRmPot: 10.793 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
24-05-26,15:53:36.476,REG2,,"#1: alpha: 0.036, ETRm: 58.525, Ik: 1636.166   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
24-05-26,15:53:37.875,FO,513,67,146,0,0.541,0.0,0,0.84,0,0,0,0,0,0,67,146,0.541
24-05-26,15:53:57.859,F,514,81,134,25,0.396,4.2,71,0.84,0.841,0.203,0.737,0.090,0.555,0.049,67,146,0.541
24-05-26,15:54:17.845,F,515,82,129,45,0.364,6.9,68,0.84,0.770,0.228,0.639,0.132,0.562,0.074,67,146,0.541
24-05-26,15:54:37.836,F,516,87,124,66,0.298,8.3,72,0.84,0.712,0.342,0.589,0.177,0.596,0.106,67,146,0.541
24-05-26,15:54:57.828,F,517,86,116,91,0.259,9.9,69,0.84,0.638,0.405,0.512,0.259,0.589,0.152,67,146,0.541
24-05-26,15:55:17.814,F,518,81,108,127,0.250,13.3,63,0.84,0.600,0.430,0.467,0.352,0.555,0.195,67,146,0.541
24-05-26,15:55:37.803,F,519,97,118,192,0.178,14.4,73,0.84,0.467,0.430,0.351,0.237,0.664,0.158,67,146,0.541
24-05-26,15:55:57.792,F,520,109,125,288,0.128,15.5,75,0.84,0.320,0.367,0.220,0.168,0.747,0.125,67,146,0.541
24-05-26,15:56:17.787,F,521,104,116,424,0.103,18.3,67,0.84,0.245,0.380,0.158,0.259,0.712,0.185,67,146,0.541
24-05-26,15:56:37.770,F,522,102,109,634,0.064,17.0,68,0.84,0.171,0.481,0.114,0.339,0.699,0.237,67,146,0.541
24-05-26,15:56:57.760,F,523,97,103,829,0.058,20.2,63,0.84,0.150,0.494,0.097,0.417,0.664,0.278,67,146,0.541
24-05-26,15:57:17.751,F,524,83,89,1160,0.067,32.6,52,0.84,0.162,0.532,0.101,0.640,0.568,0.365,67,146,0.541
24-05-26,15:57:37.740,F,525,76,82,1512,0.073,46.4,48,0.84,0.176,0.570,0.111,0.780,0.521,0.406,67,146,0.541
24-05-26,15:57:46.311,SLCE,,Light Curve end,,,,,,,,,,,,,,,
24-05-26,16:01:19.152,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,16:01:19.152,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.010, ETRmPot: 16.615 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
24-05-26,16:01:19.152,REG2,,"#1: alpha: 0.057, ETRm: 38.259, Ik: 665.471   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
24-05-26,16:01:20.545,FO,526,117,215,0,0.456,0.0,0,0.84,0,0,0,0,0,0,117,215,0.456
24-05-26,16:01:40.538,F,527,134,202,25,0.337,3.5,120,0.84,0.829,0.163,0.742,0.064,0.623,0.040,117,215,0.456
24-05-26,16:02:00.523,F,528,142,200,45,0.290,5.5,125,0.84,0.773,0.235,0.680,0.075,0.660,0.050,117,215,0.456
24-05-26,16:02:20.518,F,529,155,209,66,0.258,7.2,130,0.84,0.684,0.194,0.574,0.029,0.721,0.021,117,215,0.456
24-05-26,16:02:40.500,F,530,161,205,91,0.215,8.2,129,0.84,0.579,0.224,0.464,0.049,0.749,0.036,117,215,0.456
24-05-26,16:03:00.489,F,531,148,183,127,0.191,10.2,119,0.84,0.547,0.347,0.440,0.175,0.688,0.121,117,215,0.456
24-05-26,16:03:20.483,F,532,140,168,192,0.167,13.5,110,0.84,0.483,0.408,0.380,0.280,0.651,0.182,117,215,0.456
24-05-26,16:03:40.493,F,533,132,153,288,0.137,16.6,100,0.84,0.396,0.459,0.300,0.405,0.614,0.249,117,215,0.456
24-05-26,16:04:00.483,F,534,127,145,424,0.124,22.1,98,0.84,0.383,0.520,0.296,0.483,0.591,0.285,117,215,0.456
24-05-26,16:04:20.466,F,535,127,140,634,0.093,24.8,94,0.84,0.283,0.531,0.209,0.536,0.591,0.316,117,215,0.456
24-05-26,16:04:40.460,F,536,119,130,829,0.085,29.6,89,0.84,0.268,0.582,0.200,0.654,0.553,0.362,117,215,0.456
24-05-26,16:05:00.444,F,537,120,128,1160,0.063,30.7,89,0.84,0.205,0.602,0.152,0.680,0.558,0.379,117,215,0.456
24-05-26,16:05:20.437,F,538,119,128,1512,0.070,44.5,86,0.84,0.214,0.571,0.155,0.680,0.553,0.377,117,215,0.456
24-05-26,16:05:28.297,SLCE,,Light Curve end,,,,,,,,,,,,,,,
24-05-26,16:08:49.933,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,16:08:49.933,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.009, ETRmPot: 7.991 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
24-05-26,16:08:49.933,REG2,,"#1: alpha: 0.093, ETRm: 18.298, Ik: 196.066   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
24-05-26,16:08:51.323,FO,539,158,322,0,0.509,0.0,0,0.84,0,0,0,0,0,0,158,322,0.509
24-05-26,16:09:11.315,F,540,213,305,25,0.302,3.2,166,0.84,0.662,0.152,0.516,0.056,0.661,0.037,158,322,0.509
24-05-26,16:09:31.300,F,541,201,270,45,0.256,4.8,152,0.84,0.585,0.280,0.442,0.193,0.624,0.120,158,322,0.509
24-05-26,16:09:51.295,F,542,194,252,66,0.230,6.4,143,0.84,0.532,0.335,0.392,0.278,0.602,0.168,158,322,0.509
24-05-26,16:10:11.284,F,543,171,217,91,0.212,8.1,124,0.84,0.495,0.433,0.359,0.484,0.531,0.257,158,322,0.509
24-05-26,16:10:31.269,F,544,99,120,127,0.175,9.3,58,0.84,0.339,0.622,0.199,1.683,0.307,0.518,158,322,0.509
24-05-26,16:10:51.264,F,545,82,97,192,0.155,12.5,56,0.84,0.366,0.750,0.250,2.320,0.255,0.590,158,322,0.509
24-05-26,16:11:11.253,F,546,85,99,288,0.141,17.1,58,0.84,0.341,0.750,0.233,2.253,0.264,0.595,158,322,0.509
24-05-26,16:11:31.234,F,547,87,100,424,0.130,23.2,60,0.84,0.325,0.756,0.224,2.220,0.270,0.600,158,322,0.509
24-05-26,16:11:51.225,F,548,92,96,634,0.042,11.2,53,0.84,0.093,0.738,0.054,2.354,0.286,0.672,158,322,0.509
24-05-26,16:12:11.214,F,549,75,75,829,0.000,0.0,29,0.84,0.000,0.720,0.000,3.293,0.233,0.767,158,322,0.509
24-05-26,16:12:31.201,F,550,46,50,1159,0.080,38.9,22,0.84,0.143,0.829,0.068,5.440,0.143,0.777,158,322,0.509
24-05-26,16:12:51.197,F,551,42,43,1512,0,0,23,0.84,0,0,0,0,0,0,158,322,0.509
24-05-26,16:12:58.977,SLCE,,Light Curve end,,,,,,,,,,,,,,,
24-05-26,16:14:49.127,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,16:14:49.127,REG1,,"#1: alpha: - , ETRm: - , Ik: -   ( beta: - 0.005, ETRmPot: 16.782 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
24-05-26,16:14:49.127,REG2,,"#1: alpha: 0.087, ETRm: 21.907, Ik: 253.152   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
24-05-26,16:14:50.524,FO,552,85,176,0,0.517,0.0,0,0.84,0,0,0,0,0,0,85,176,0.517
24-05-26,16:15:10.517,F,553,124,197,25,0.371,3.9,112,0.84,0.859,0.066,0.776,-0.107,0.705,-0.076,85,176,0.517
24-05-26,16:15:30.506,F,554,177,245,45,0.278,5.3,143,0.84,0.667,-0.121,0.539,-0.282,1.006,-0.284,85,176,0.517
24-05-26,16:15:50.494,F,555,160,214,66,0.252,7.0,120,0.84,0.574,-0.033,0.431,-0.178,0.909,-0.161,85,176,0.517
24-05-26,16:16:10.483,F,556,142,183,91,0.224,8.6,111,0.84,0.569,0.209,0.445,-0.038,0.807,-0.031,85,176,0.517
24-05-26,16:16:30.472,F,557,148,185,127,0.200,10.7,115,0.84,0.529,0.231,0.411,-0.049,0.841,-0.041,85,176,0.517
24-05-26,16:16:50.458,F,558,178,219,192,0.187,15.1,104,0.84,0.357,-0.264,0.209,-0.196,1.011,-0.198,85,176,0.517
24-05-26,16:17:10.446,F,559,156,178,288,0.124,15.0,109,0.84,0.319,0.242,0.223,-0.011,0.886,-0.010,85,176,0.517
24-05-26,16:17:30.442,F,560,151,168,424,0.101,18.0,103,0.84,0.262,0.286,0.179,0.048,0.858,0.041,85,176,0.517
24-05-26,16:17:50.427,F,561,144,155,634,0.071,18.9,96,0.84,0.186,0.352,0.124,0.135,0.818,0.111,85,176,0.517
24-05-26,16:18:10.416,F,562,133,142,829,0.063,21.9,96,0.84,0.196,0.495,0.141,0.239,0.756,0.181,85,176,0.517
24-05-26,16:18:30.407,F,563,150,158,1159,0.051,24.8,103,0.84,0.145,0.396,0.100,0.114,0.852,0.097,85,176,0.517
24-05-26,16:18:50.397,F,564,150,156,1512,0.038,24.1,102,0.84,0.111,0.407,0.075,0.128,0.852,0.110,85,176,0.517
24-05-26,16:18:58.289,SLCE,,Light Curve end,,,,,,,,,,,,,,,
24-05-26,16:22:23.023,SLCS,,Light Curve start,,,,,,,,,,,,,,,
24-05-26,16:22:23.023,REG1,,"#1: alpha: 0.123, ETRm: 59.318, Ik: 481.886   ( beta: 0.008, ETRmPot: 75.280 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
